Team 1,Team 2,Bet Type,Bet Info,Odds,Date of Game,Sportsbook Name,Sport
Jacksonville Jaguars,Detroit Lions,MoneyLine,Jacksonville Jaguars,640,2024-11-17T18:00:00Z,LowVig.ag,NFL
Detroit Lions,Jacksonville Jaguars,Spread,-14.0,-105,2024-11-17T18:00:00Z,LowVig.ag,NFL
Jacksonville Jaguars,Detroit Lions,Spread,14.0,-105,2024-11-17T18:00:00Z,LowVig.ag,NFL
Detroit Lions,Jacksonville Jaguars,Total,O47.0,-107,2024-11-17T18:00:00Z,LowVig.ag,NFL
Detroit Lions,Jacksonville Jaguars,Total,U47.0,-107,2024-11-17T18:00:00Z,LowVig.ag,NFL
Detroit Lions,Jacksonville Jaguars,MoneyLine,Detroit Lions,-900,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Jacksonville Jaguars,Detroit Lions,MoneyLine,Jacksonville Jaguars,640,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Detroit Lions,Jacksonville Jaguars,Spread,-14.0,-110,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Jacksonville Jaguars,Detroit Lions,Spread,14.0,-110,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Detroit Lions,Jacksonville Jaguars,Total,O47.0,-110,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Detroit Lions,Jacksonville Jaguars,Total,U47.0,-110,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Detroit Lions,Jacksonville Jaguars,MoneyLine,Detroit Lions,-835,2024-11-17T18:00:00Z,BetRivers,NFL
Jacksonville Jaguars,Detroit Lions,MoneyLine,Jacksonville Jaguars,540,2024-11-17T18:00:00Z,BetRivers,NFL
Detroit Lions,Jacksonville Jaguars,Spread,-14.0,-109,2024-11-17T18:00:00Z,BetRivers,NFL
Jacksonville Jaguars,Detroit Lions,Spread,14.0,-112,2024-11-17T18:00:00Z,BetRivers,NFL
Detroit Lions,Jacksonville Jaguars,Total,O47.0,-113,2024-11-17T18:00:00Z,BetRivers,NFL
Detroit Lions,Jacksonville Jaguars,Total,U47.0,-108,2024-11-17T18:00:00Z,BetRivers,NFL
Detroit Lions,Jacksonville Jaguars,MoneyLine,Detroit Lions,-1000,2024-11-17T18:00:00Z,BetUS,NFL
Jacksonville Jaguars,Detroit Lions,MoneyLine,Jacksonville Jaguars,650,2024-11-17T18:00:00Z,BetUS,NFL
Detroit Lions,Jacksonville Jaguars,Spread,-14.0,-110,2024-11-17T18:00:00Z,BetUS,NFL
Jacksonville Jaguars,Detroit Lions,Spread,14.0,-110,2024-11-17T18:00:00Z,BetUS,NFL
Detroit Lions,Jacksonville Jaguars,Total,O47.0,-110,2024-11-17T18:00:00Z,BetUS,NFL
Detroit Lions,Jacksonville Jaguars,Total,U47.0,-110,2024-11-17T18:00:00Z,BetUS,NFL
Detroit Lions,Jacksonville Jaguars,MoneyLine,Detroit Lions,-1000,2024-11-17T18:00:00Z,BetMGM,NFL
Jacksonville Jaguars,Detroit Lions,MoneyLine,Jacksonville Jaguars,650,2024-11-17T18:00:00Z,BetMGM,NFL
Detroit Lions,Jacksonville Jaguars,Spread,-14.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
Jacksonville Jaguars,Detroit Lions,Spread,14.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
Detroit Lions,Jacksonville Jaguars,Total,O47.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
Detroit Lions,Jacksonville Jaguars,Total,U47.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
Detroit Lions,Jacksonville Jaguars,MoneyLine,Detroit Lions,-800,2024-11-17T18:00:00Z,Bovada,NFL
Jacksonville Jaguars,Detroit Lions,MoneyLine,Jacksonville Jaguars,525,2024-11-17T18:00:00Z,Bovada,NFL
Detroit Lions,Jacksonville Jaguars,Spread,-14.0,-105,2024-11-17T18:00:00Z,Bovada,NFL
Jacksonville Jaguars,Detroit Lions,Spread,14.0,-115,2024-11-17T18:00:00Z,Bovada,NFL
Detroit Lions,Jacksonville Jaguars,Total,O47.0,-110,2024-11-17T18:00:00Z,Bovada,NFL
Detroit Lions,Jacksonville Jaguars,Total,U47.0,-110,2024-11-17T18:00:00Z,Bovada,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,170,2024-11-17T18:00:00Z,DraftKings,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-205,2024-11-17T18:00:00Z,DraftKings,NFL
Indianapolis Colts,New York Jets,Spread,4.0,-110,2024-11-17T18:00:00Z,DraftKings,NFL
New York Jets,Indianapolis Colts,Spread,-4.0,-110,2024-11-17T18:00:00Z,DraftKings,NFL
New York Jets,Indianapolis Colts,Total,O43.5,-112,2024-11-17T18:00:00Z,DraftKings,NFL
New York Jets,Indianapolis Colts,Total,U43.5,-108,2024-11-17T18:00:00Z,DraftKings,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,158,2024-11-17T18:00:00Z,Caesars,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-190,2024-11-17T18:00:00Z,Caesars,NFL
Indianapolis Colts,New York Jets,Spread,4.0,-115,2024-11-17T18:00:00Z,Caesars,NFL
New York Jets,Indianapolis Colts,Spread,-4.0,-105,2024-11-17T18:00:00Z,Caesars,NFL
New York Jets,Indianapolis Colts,Total,O44.0,-110,2024-11-17T18:00:00Z,Caesars,NFL
New York Jets,Indianapolis Colts,Total,U44.0,-110,2024-11-17T18:00:00Z,Caesars,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,168,2024-11-17T18:00:00Z,FanDuel,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-200,2024-11-17T18:00:00Z,FanDuel,NFL
Indianapolis Colts,New York Jets,Spread,3.5,-102,2024-11-17T18:00:00Z,FanDuel,NFL
New York Jets,Indianapolis Colts,Spread,-3.5,-120,2024-11-17T18:00:00Z,FanDuel,NFL
New York Jets,Indianapolis Colts,Total,O43.5,-105,2024-11-17T18:00:00Z,FanDuel,NFL
New York Jets,Indianapolis Colts,Total,U43.5,-115,2024-11-17T18:00:00Z,FanDuel,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,164,2024-11-17T18:00:00Z,MyBookie.ag,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-204,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Indianapolis Colts,New York Jets,Spread,4.0,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
New York Jets,Indianapolis Colts,Spread,-4.0,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
New York Jets,Indianapolis Colts,Total,O43.5,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
New York Jets,Indianapolis Colts,Total,U43.5,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,165,2024-11-17T18:00:00Z,LowVig.ag,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-190,2024-11-17T18:00:00Z,LowVig.ag,NFL
Indianapolis Colts,New York Jets,Spread,3.5,-101,2024-11-17T18:00:00Z,LowVig.ag,NFL
New York Jets,Indianapolis Colts,Spread,-3.5,-109,2024-11-17T18:00:00Z,LowVig.ag,NFL
New York Jets,Indianapolis Colts,Total,O44.0,-107,2024-11-17T18:00:00Z,LowVig.ag,NFL
New York Jets,Indianapolis Colts,Total,U44.0,-107,2024-11-17T18:00:00Z,LowVig.ag,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,165,2024-11-17T18:00:00Z,BetOnline.ag,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-190,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Indianapolis Colts,New York Jets,Spread,3.5,-106,2024-11-17T18:00:00Z,BetOnline.ag,NFL
New York Jets,Indianapolis Colts,Spread,-3.5,-114,2024-11-17T18:00:00Z,BetOnline.ag,NFL
New York Jets,Indianapolis Colts,Total,O44.0,-110,2024-11-17T18:00:00Z,BetOnline.ag,NFL
New York Jets,Indianapolis Colts,Total,U44.0,-110,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,150,2024-11-17T18:00:00Z,BetRivers,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-182,2024-11-17T18:00:00Z,BetRivers,NFL
Indianapolis Colts,New York Jets,Spread,4.0,-113,2024-11-17T18:00:00Z,BetRivers,NFL
New York Jets,Indianapolis Colts,Spread,-4.0,-108,2024-11-17T18:00:00Z,BetRivers,NFL
New York Jets,Indianapolis Colts,Total,O44.0,-112,2024-11-17T18:00:00Z,BetRivers,NFL
New York Jets,Indianapolis Colts,Total,U44.0,-109,2024-11-17T18:00:00Z,BetRivers,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,163,2024-11-17T18:00:00Z,BetUS,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-190,2024-11-17T18:00:00Z,BetUS,NFL
Indianapolis Colts,New York Jets,Spread,4.0,-110,2024-11-17T18:00:00Z,BetUS,NFL
New York Jets,Indianapolis Colts,Spread,-4.0,-110,2024-11-17T18:00:00Z,BetUS,NFL
New York Jets,Indianapolis Colts,Total,O43.5,-110,2024-11-17T18:00:00Z,BetUS,NFL
New York Jets,Indianapolis Colts,Total,U43.5,-110,2024-11-17T18:00:00Z,BetUS,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,170,2024-11-17T18:00:00Z,BetMGM,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-210,2024-11-17T18:00:00Z,BetMGM,NFL
Indianapolis Colts,New York Jets,Spread,4.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
New York Jets,Indianapolis Colts,Spread,-4.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
New York Jets,Indianapolis Colts,Total,O44.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
New York Jets,Indianapolis Colts,Total,U44.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
Indianapolis Colts,New York Jets,MoneyLine,Indianapolis Colts,170,2024-11-17T18:00:00Z,Bovada,NFL
New York Jets,Indianapolis Colts,MoneyLine,New York Jets,-200,2024-11-17T18:00:00Z,Bovada,NFL
Indianapolis Colts,New York Jets,Spread,4.0,-115,2024-11-17T18:00:00Z,Bovada,NFL
New York Jets,Indianapolis Colts,Spread,-4.0,-105,2024-11-17T18:00:00Z,Bovada,NFL
New York Jets,Indianapolis Colts,Total,O43.5,-110,2024-11-17T18:00:00Z,Bovada,NFL
New York Jets,Indianapolis Colts,Total,U43.5,-110,2024-11-17T18:00:00Z,Bovada,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,260,2024-11-17T18:00:00Z,DraftKings,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-325,2024-11-17T18:00:00Z,DraftKings,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.0,-110,2024-11-17T18:00:00Z,DraftKings,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.0,-110,2024-11-17T18:00:00Z,DraftKings,NFL
Miami Dolphins,Las Vegas Raiders,Total,O44.0,-110,2024-11-17T18:00:00Z,DraftKings,NFL
Miami Dolphins,Las Vegas Raiders,Total,U44.0,-110,2024-11-17T18:00:00Z,DraftKings,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,285,2024-11-17T18:00:00Z,Caesars,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-365,2024-11-17T18:00:00Z,Caesars,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.5,-120,2024-11-17T18:00:00Z,Caesars,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.5,100,2024-11-17T18:00:00Z,Caesars,NFL
Miami Dolphins,Las Vegas Raiders,Total,O44.0,-110,2024-11-17T18:00:00Z,Caesars,NFL
Miami Dolphins,Las Vegas Raiders,Total,U44.0,-110,2024-11-17T18:00:00Z,Caesars,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,275,2024-11-17T18:00:00Z,FanDuel,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-340,2024-11-17T18:00:00Z,FanDuel,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.0,-105,2024-11-17T18:00:00Z,FanDuel,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.0,-115,2024-11-17T18:00:00Z,FanDuel,NFL
Miami Dolphins,Las Vegas Raiders,Total,O44.5,-104,2024-11-17T18:00:00Z,FanDuel,NFL
Miami Dolphins,Las Vegas Raiders,Total,U44.5,-118,2024-11-17T18:00:00Z,FanDuel,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,260,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-340,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.0,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.0,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Miami Dolphins,Las Vegas Raiders,Total,O44.0,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Miami Dolphins,Las Vegas Raiders,Total,U44.0,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,280,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-350,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.5,-120,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.5,100,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Miami Dolphins,Las Vegas Raiders,Total,O44.0,-108,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Miami Dolphins,Las Vegas Raiders,Total,U44.0,-112,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,280,2024-11-17T18:00:00Z,LowVig.ag,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-350,2024-11-17T18:00:00Z,LowVig.ag,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.5,-118,2024-11-17T18:00:00Z,LowVig.ag,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.5,107,2024-11-17T18:00:00Z,LowVig.ag,NFL
Miami Dolphins,Las Vegas Raiders,Total,O44.0,-105,2024-11-17T18:00:00Z,LowVig.ag,NFL
Miami Dolphins,Las Vegas Raiders,Total,U44.0,-109,2024-11-17T18:00:00Z,LowVig.ag,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,290,2024-11-17T18:00:00Z,BetRivers,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-375,2024-11-17T18:00:00Z,BetRivers,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.5,-117,2024-11-17T18:00:00Z,BetRivers,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.5,-105,2024-11-17T18:00:00Z,BetRivers,NFL
Miami Dolphins,Las Vegas Raiders,Total,O44.0,-112,2024-11-17T18:00:00Z,BetRivers,NFL
Miami Dolphins,Las Vegas Raiders,Total,U44.0,-109,2024-11-17T18:00:00Z,BetRivers,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,280,2024-11-17T18:00:00Z,BetUS,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-350,2024-11-17T18:00:00Z,BetUS,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.5,-120,2024-11-17T18:00:00Z,BetUS,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.5,100,2024-11-17T18:00:00Z,BetUS,NFL
Miami Dolphins,Las Vegas Raiders,Total,O44.0,-110,2024-11-17T18:00:00Z,BetUS,NFL
Miami Dolphins,Las Vegas Raiders,Total,U44.0,-110,2024-11-17T18:00:00Z,BetUS,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,300,2024-11-17T18:00:00Z,BetMGM,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-375,2024-11-17T18:00:00Z,BetMGM,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.5,-115,2024-11-17T18:00:00Z,BetMGM,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.5,-105,2024-11-17T18:00:00Z,BetMGM,NFL
Miami Dolphins,Las Vegas Raiders,Total,O44.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
Miami Dolphins,Las Vegas Raiders,Total,U44.0,-110,2024-11-17T18:00:00Z,BetMGM,NFL
Las Vegas Raiders,Miami Dolphins,MoneyLine,Las Vegas Raiders,270,2024-11-17T18:00:00Z,Bovada,NFL
Miami Dolphins,Las Vegas Raiders,MoneyLine,Miami Dolphins,-340,2024-11-17T18:00:00Z,Bovada,NFL
Las Vegas Raiders,Miami Dolphins,Spread,7.0,-105,2024-11-17T18:00:00Z,Bovada,NFL
Miami Dolphins,Las Vegas Raiders,Spread,-7.0,-115,2024-11-17T18:00:00Z,Bovada,NFL
Miami Dolphins,Las Vegas Raiders,Total,O43.5,-110,2024-11-17T18:00:00Z,Bovada,NFL
Miami Dolphins,Las Vegas Raiders,Total,U43.5,-110,2024-11-17T18:00:00Z,Bovada,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-205,2024-11-17T18:00:00Z,DraftKings,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,170,2024-11-17T18:00:00Z,DraftKings,NFL
Los Angeles Rams,New England Patriots,Spread,-4.5,-112,2024-11-17T18:00:00Z,DraftKings,NFL
New England Patriots,Los Angeles Rams,Spread,4.5,-108,2024-11-17T18:00:00Z,DraftKings,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-112,2024-11-17T18:00:00Z,DraftKings,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-108,2024-11-17T18:00:00Z,DraftKings,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-225,2024-11-17T18:00:00Z,Caesars,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,185,2024-11-17T18:00:00Z,Caesars,NFL
Los Angeles Rams,New England Patriots,Spread,-4.5,-115,2024-11-17T18:00:00Z,Caesars,NFL
New England Patriots,Los Angeles Rams,Spread,4.5,-105,2024-11-17T18:00:00Z,Caesars,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-110,2024-11-17T18:00:00Z,Caesars,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-110,2024-11-17T18:00:00Z,Caesars,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-225,2024-11-17T18:00:00Z,BetUS,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,190,2024-11-17T18:00:00Z,BetUS,NFL
Los Angeles Rams,New England Patriots,Spread,-4.5,-110,2024-11-17T18:00:00Z,BetUS,NFL
New England Patriots,Los Angeles Rams,Spread,4.5,-110,2024-11-17T18:00:00Z,BetUS,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-110,2024-11-17T18:00:00Z,BetUS,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-110,2024-11-17T18:00:00Z,BetUS,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-230,2024-11-17T18:00:00Z,FanDuel,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,190,2024-11-17T18:00:00Z,FanDuel,NFL
Los Angeles Rams,New England Patriots,Spread,-4.5,-115,2024-11-17T18:00:00Z,FanDuel,NFL
New England Patriots,Los Angeles Rams,Spread,4.5,-105,2024-11-17T18:00:00Z,FanDuel,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-112,2024-11-17T18:00:00Z,FanDuel,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-108,2024-11-17T18:00:00Z,FanDuel,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-222,2024-11-17T18:00:00Z,MyBookie.ag,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,178,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Los Angeles Rams,New England Patriots,Spread,-4.5,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
New England Patriots,Los Angeles Rams,Spread,4.5,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-225,2024-11-17T18:00:00Z,BetRivers,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,180,2024-11-17T18:00:00Z,BetRivers,NFL
Los Angeles Rams,New England Patriots,Spread,-5.0,-110,2024-11-17T18:00:00Z,BetRivers,NFL
New England Patriots,Los Angeles Rams,Spread,5.0,-110,2024-11-17T18:00:00Z,BetRivers,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-110,2024-11-17T18:00:00Z,BetRivers,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-110,2024-11-17T18:00:00Z,BetRivers,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-215,2024-11-17T18:00:00Z,LowVig.ag,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,185,2024-11-17T18:00:00Z,LowVig.ag,NFL
Los Angeles Rams,New England Patriots,Spread,-4.0,-110,2024-11-17T18:00:00Z,LowVig.ag,NFL
New England Patriots,Los Angeles Rams,Spread,4.0,100,2024-11-17T18:00:00Z,LowVig.ag,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-107,2024-11-17T18:00:00Z,LowVig.ag,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-107,2024-11-17T18:00:00Z,LowVig.ag,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-215,2024-11-17T18:00:00Z,BetOnline.ag,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,185,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Los Angeles Rams,New England Patriots,Spread,-4.0,-115,2024-11-17T18:00:00Z,BetOnline.ag,NFL
New England Patriots,Los Angeles Rams,Spread,4.0,-105,2024-11-17T18:00:00Z,BetOnline.ag,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-110,2024-11-17T18:00:00Z,BetOnline.ag,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-110,2024-11-17T18:00:00Z,BetOnline.ag,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-225,2024-11-17T18:00:00Z,BetMGM,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,180,2024-11-17T18:00:00Z,BetMGM,NFL
Los Angeles Rams,New England Patriots,Spread,-4.5,-115,2024-11-17T18:00:00Z,BetMGM,NFL
New England Patriots,Los Angeles Rams,Spread,4.5,-105,2024-11-17T18:00:00Z,BetMGM,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-110,2024-11-17T18:00:00Z,BetMGM,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-110,2024-11-17T18:00:00Z,BetMGM,NFL
Los Angeles Rams,New England Patriots,MoneyLine,Los Angeles Rams,-225,2024-11-17T18:00:00Z,Bovada,NFL
New England Patriots,Los Angeles Rams,MoneyLine,New England Patriots,185,2024-11-17T18:00:00Z,Bovada,NFL
Los Angeles Rams,New England Patriots,Spread,-4.5,-110,2024-11-17T18:00:00Z,Bovada,NFL
New England Patriots,Los Angeles Rams,Spread,4.5,-110,2024-11-17T18:00:00Z,Bovada,NFL
New England Patriots,Los Angeles Rams,Total,O43.5,-110,2024-11-17T18:00:00Z,Bovada,NFL
New England Patriots,Los Angeles Rams,Total,U43.5,-110,2024-11-17T18:00:00Z,Bovada,NFL
Minnesota Vikings,Tennessee Titans,MoneyLine,Minnesota Vikings,-258,2024-11-17T18:00:00Z,DraftKings,NFL
Tennessee Titans,Minnesota Vikings,MoneyLine,Tennessee Titans,210,2024-11-17T18:00:00Z,DraftKings,NFL
Minnesota Vikings,Tennessee Titans,Spread,-6.0,-108,2024-11-17T18:00:00Z,DraftKings,NFL
Tennessee Titans,Minnesota Vikings,Spread,6.0,-112,2024-11-17T18:00:00Z,DraftKings,NFL
Tennessee Titans,Minnesota Vikings,Total,O39.5,-112,2024-11-17T18:00:00Z,DraftKings,NFL
Tennessee Titans,Minnesota Vikings,Total,U39.5,-108,2024-11-17T18:00:00Z,DraftKings,NFL
Minnesota Vikings,Tennessee Titans,MoneyLine,Minnesota Vikings,-260,2024-11-17T18:00:00Z,Caesars,NFL
Tennessee Titans,Minnesota Vikings,MoneyLine,Tennessee Titans,210,2024-11-17T18:00:00Z,Caesars,NFL
Minnesota Vikings,Tennessee Titans,Spread,-6.0,-110,2024-11-17T18:00:00Z,Caesars,NFL
Tennessee Titans,Minnesota Vikings,Spread,6.0,-110,2024-11-17T18:00:00Z,Caesars,NFL
Tennessee Titans,Minnesota Vikings,Total,O39.5,-110,2024-11-17T18:00:00Z,Caesars,NFL
Tennessee Titans,Minnesota Vikings,Total,U39.5,-110,2024-11-17T18:00:00Z,Caesars,NFL
Minnesota Vikings,Tennessee Titans,MoneyLine,Minnesota Vikings,-255,2024-11-17T18:00:00Z,BetUS,NFL
Tennessee Titans,Minnesota Vikings,MoneyLine,Tennessee Titans,215,2024-11-17T18:00:00Z,BetUS,NFL
Minnesota Vikings,Tennessee Titans,Spread,-6.0,-105,2024-11-17T18:00:00Z,BetUS,NFL
Tennessee Titans,Minnesota Vikings,Spread,6.0,-115,2024-11-17T18:00:00Z,BetUS,NFL
Tennessee Titans,Minnesota Vikings,Total,O39.5,-110,2024-11-17T18:00:00Z,BetUS,NFL
Tennessee Titans,Minnesota Vikings,Total,U39.5,-110,2024-11-17T18:00:00Z,BetUS,NFL
Minnesota Vikings,Tennessee Titans,MoneyLine,Minnesota Vikings,-250,2024-11-17T18:00:00Z,FanDuel,NFL
Tennessee Titans,Minnesota Vikings,MoneyLine,Tennessee Titans,205,2024-11-17T18:00:00Z,FanDuel,NFL
Minnesota Vikings,Tennessee Titans,Spread,-5.5,-120,2024-11-17T18:00:00Z,FanDuel,NFL
Tennessee Titans,Minnesota Vikings,Spread,5.5,-102,2024-11-17T18:00:00Z,FanDuel,NFL
Tennessee Titans,Minnesota Vikings,Total,O39.5,-115,2024-11-17T18:00:00Z,FanDuel,NFL
Tennessee Titans,Minnesota Vikings,Total,U39.5,-105,2024-11-17T18:00:00Z,FanDuel,NFL
Minnesota Vikings,Tennessee Titans,MoneyLine,Minnesota Vikings,-265,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Tennessee Titans,Minnesota Vikings,MoneyLine,Tennessee Titans,210,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Minnesota Vikings,Tennessee Titans,Spread,-6.0,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
Tennessee Titans,Minnesota Vikings,Spread,6.0,-110,2024-11-17T18:00:00Z,MyBookie.ag,NFL
