team1,team2,betType,betInfo,odds,dateOfGame,sportsbookName,sport
"Cleveland Browns","Denver Broncos","MoneyLine","Cleveland Browns",220,"2024-12-03T01:15:00Z","DraftKings","NFL"
"Denver Broncos","Cleveland Browns","MoneyLine","Denver Broncos",-270,"2024-12-03T01:15:00Z","DraftKings","NFL"
"Cleveland Browns","Denver Broncos","Spread","6.5",-115,"2024-12-03T01:15:00Z","DraftKings","NFL"
"Denver Broncos","Cleveland Browns","Spread","-6.5",-105,"2024-12-03T01:15:00Z","DraftKings","NFL"
"Denver Broncos","Cleveland Browns","Total","O42",-108,"2024-12-03T01:15:00Z","DraftKings","NFL"
"Denver Broncos","Cleveland Browns","Total","U42",-112,"2024-12-03T01:15:00Z","DraftKings","NFL"
"Cleveland Browns","Denver Broncos","MoneyLine","Cleveland Browns",225,"2024-12-03T01:15:00Z","FanDuel","NFL"
"Denver Broncos","Cleveland Browns","MoneyLine","Denver Broncos",-275,"2024-12-03T01:15:00Z","FanDuel","NFL"
"Cleveland Browns","Denver Broncos","Spread","6.5",-122,"2024-12-03T01:15:00Z","FanDuel","NFL"
"Denver Broncos","Cleveland Browns","Spread","-6.5",100,"2024-12-03T01:15:00Z","FanDuel","NFL"
"Denver Broncos","Cleveland Browns","Total","O41.5",-115,"2024-12-03T01:15:00Z","FanDuel","NFL"
"Denver Broncos","Cleveland Browns","Total","U41.5",-105,"2024-12-03T01:15:00Z","FanDuel","NFL"
"Cleveland Browns","Denver Broncos","MoneyLine","Cleveland Browns",234,"2024-12-03T01:15:00Z","MyBookie.ag","NFL"
"Denver Broncos","Cleveland Browns","MoneyLine","Denver Broncos",-300,"2024-12-03T01:15:00Z","MyBookie.ag","NFL"
"Cleveland Browns","Denver Broncos","Spread","6",-105,"2024-12-03T01:15:00Z","MyBookie.ag","NFL"
"Denver Broncos","Cleveland Browns","Spread","-6",-115,"2024-12-03T01:15:00Z","MyBookie.ag","NFL"
"Denver Broncos","Cleveland Browns","Total","O42",-110,"2024-12-03T01:15:00Z","MyBookie.ag","NFL"
"Denver Broncos","Cleveland Browns","Total","U42",-110,"2024-12-03T01:15:00Z","MyBookie.ag","NFL"
"Cleveland Browns","Denver Broncos","MoneyLine","Cleveland Browns",230,"2024-12-03T01:15:00Z","BetRivers","NFL"
"Denver Broncos","Cleveland Browns","MoneyLine","Denver Broncos",-305,"2024-12-03T01:15:00Z","BetRivers","NFL"
"Cleveland Browns","Denver Broncos","Spread","6.5",-112,"2024-12-03T01:15:00Z","BetRivers","NFL"
"Denver Broncos","Cleveland Browns","Spread","-6.5",-109,"2024-12-03T01:15:00Z","BetRivers","NFL"
"Denver Broncos","Cleveland Browns","Total","O42",-110,"2024-12-03T01:15:00Z","BetRivers","NFL"
"Denver Broncos","Cleveland Browns","Total","U42",-110,"2024-12-03T01:15:00Z","BetRivers","NFL"
"Cleveland Browns","Denver Broncos","MoneyLine","Cleveland Browns",238,"2024-12-03T01:15:00Z","BetUS","NFL"
"Denver Broncos","Cleveland Browns","MoneyLine","Denver Broncos",-285,"2024-12-03T01:15:00Z","BetUS","NFL"
"Cleveland Browns","Denver Broncos","Spread","6",-105,"2024-12-03T01:15:00Z","BetUS","NFL"
"Denver Broncos","Cleveland Browns","Spread","-6",-115,"2024-12-03T01:15:00Z","BetUS","NFL"
"Denver Broncos","Cleveland Browns","Total","O42",-110,"2024-12-03T01:15:00Z","BetUS","NFL"
"Denver Broncos","Cleveland Browns","Total","U42",-110,"2024-12-03T01:15:00Z","BetUS","NFL"
"Cleveland Browns","Denver Broncos","MoneyLine","Cleveland Browns",240,"2024-12-03T01:15:00Z","BetOnline.ag","NFL"
"Denver Broncos","Cleveland Browns","MoneyLine","Denver Broncos",-285,"2024-12-03T01:15:00Z","BetOnline.ag","NFL"
"Cleveland Browns","Denver Broncos","Spread","6",-105,"2024-12-03T01:15:00Z","BetOnline.ag","NFL"
"Denver Broncos","Cleveland Browns","Spread","-6",-115,"2024-12-03T01:15:00Z","BetOnline.ag","NFL"
"Denver Broncos","Cleveland Browns","Total","O42",-110,"2024-12-03T01:15:00Z","BetOnline.ag","NFL"
"Denver Broncos","Cleveland Browns","Total","U42",-110,"2024-12-03T01:15:00Z","BetOnline.ag","NFL"
