Team 1,Team 2,Bet Type,Bet Info,Odds,Date of game,DateTime(when got odds),Sportsbook Name,Sport
<<<<<<< HEAD
BAL Ravens,TB Buccaneers,Spread,-4.5,−110,Today ,2024-10-21 19:45:32.762498,DraftKings,NFL
BAL Ravens,TB Buccaneers,Total,O51,−110,Today ,2024-10-21 19:45:32.762516,DraftKings,NFL
BAL Ravens,TB Buccaneers,MoneyLine,BAL Ravens,−225,Today ,2024-10-21 19:45:32.762526,DraftKings,NFL
TB Buccaneers,BAL Ravens,Spread,+4.5,−110,Today ,2024-10-21 19:45:32.763008,DraftKings,NFL
TB Buccaneers,BAL Ravens,Total,U51,−110,Today ,2024-10-21 19:45:32.763017,DraftKings,NFL
TB Buccaneers,BAL Ravens,MoneyLine,TB Buccaneers,+185,Today ,2024-10-21 19:45:32.763026,DraftKings,NFL
LA Chargers,ARI Cardinals,Spread,-1,−112,Today ,2024-10-21 19:45:32.763499,DraftKings,NFL
LA Chargers,ARI Cardinals,Total,O44,−112,Today ,2024-10-21 19:45:32.763509,DraftKings,NFL
LA Chargers,ARI Cardinals,MoneyLine,LA Chargers,−118,Today ,2024-10-21 19:45:32.763520,DraftKings,NFL
ARI Cardinals,LA Chargers,Spread,+1,−108,Today ,2024-10-21 19:45:32.763990,DraftKings,NFL
ARI Cardinals,LA Chargers,Total,U44,−108,Today ,2024-10-21 19:45:32.764001,DraftKings,NFL
ARI Cardinals,LA Chargers,MoneyLine,ARI Cardinals,−102,Today ,2024-10-21 19:45:32.764011,DraftKings,NFL
MIN Vikings,LA Rams,Spread,-3,−112,THU OCT 24TH,2024-10-21 19:45:32.764999,DraftKings,NFL
MIN Vikings,LA Rams,Total,O48,−112,THU OCT 24TH,2024-10-21 19:45:32.765008,DraftKings,NFL
MIN Vikings,LA Rams,MoneyLine,MIN Vikings,−155,THU OCT 24TH,2024-10-21 19:45:32.765016,DraftKings,NFL
LA Rams,MIN Vikings,Spread,+3,−108,THU OCT 24TH,2024-10-21 19:45:32.765448,DraftKings,NFL
LA Rams,MIN Vikings,Total,U48,−108,THU OCT 24TH,2024-10-21 19:45:32.765456,DraftKings,NFL
LA Rams,MIN Vikings,MoneyLine,LA Rams,+130,THU OCT 24TH,2024-10-21 19:45:32.765463,DraftKings,NFL
TEN Titans,DET Lions,Spread,+11,−112,SUN OCT 27TH,2024-10-21 19:45:32.766278,DraftKings,NFL
TEN Titans,DET Lions,Total,O45.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.766286,DraftKings,NFL
TEN Titans,DET Lions,MoneyLine,TEN Titans,+440,SUN OCT 27TH,2024-10-21 19:45:32.766293,DraftKings,NFL
DET Lions,TEN Titans,Spread,-11,−108,SUN OCT 27TH,2024-10-21 19:45:32.766803,DraftKings,NFL
DET Lions,TEN Titans,Total,U45.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.766814,DraftKings,NFL
DET Lions,TEN Titans,MoneyLine,DET Lions,−600,SUN OCT 27TH,2024-10-21 19:45:32.766823,DraftKings,NFL
GB Packers,JAX Jaguars,Spread,-4.5,−112,SUN OCT 27TH,2024-10-21 19:45:32.767363,DraftKings,NFL
GB Packers,JAX Jaguars,Total,O49.5,−112,SUN OCT 27TH,2024-10-21 19:45:32.767372,DraftKings,NFL
GB Packers,JAX Jaguars,MoneyLine,GB Packers,−218,SUN OCT 27TH,2024-10-21 19:45:32.767386,DraftKings,NFL
JAX Jaguars,GB Packers,Spread,+4.5,−108,SUN OCT 27TH,2024-10-21 19:45:32.767915,DraftKings,NFL
JAX Jaguars,GB Packers,Total,U49.5,−108,SUN OCT 27TH,2024-10-21 19:45:32.767926,DraftKings,NFL
JAX Jaguars,GB Packers,MoneyLine,JAX Jaguars,+180,SUN OCT 27TH,2024-10-21 19:45:32.767936,DraftKings,NFL
BAL Ravens,CLE Browns,Spread,-9.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.768463,DraftKings,NFL
BAL Ravens,CLE Browns,Total,O42.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.768474,DraftKings,NFL
BAL Ravens,CLE Browns,MoneyLine,BAL Ravens,−440,SUN OCT 27TH,2024-10-21 19:45:32.768481,DraftKings,NFL
CLE Browns,BAL Ravens,Spread,+9.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.769255,DraftKings,NFL
CLE Browns,BAL Ravens,Total,U42.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.769269,DraftKings,NFL
CLE Browns,BAL Ravens,MoneyLine,CLE Browns,+340,SUN OCT 27TH,2024-10-21 19:45:32.769279,DraftKings,NFL
IND Colts,HOU Texans,Spread,+6,−112,SUN OCT 27TH,2024-10-21 19:45:32.769843,DraftKings,NFL
IND Colts,HOU Texans,Total,O46,−110,SUN OCT 27TH,2024-10-21 19:45:32.769855,DraftKings,NFL
IND Colts,HOU Texans,MoneyLine,IND Colts,+205,SUN OCT 27TH,2024-10-21 19:45:32.769864,DraftKings,NFL
HOU Texans,IND Colts,Spread,-6,−108,SUN OCT 27TH,2024-10-21 19:45:32.770347,DraftKings,NFL
HOU Texans,IND Colts,Total,U46,−110,SUN OCT 27TH,2024-10-21 19:45:32.770358,DraftKings,NFL
HOU Texans,IND Colts,MoneyLine,HOU Texans,−250,SUN OCT 27TH,2024-10-21 19:45:32.770367,DraftKings,NFL
PHI Eagles,CIN Bengals,Spread,+3,−118,SUN OCT 27TH,2024-10-21 19:45:32.770918,DraftKings,NFL
PHI Eagles,CIN Bengals,Total,O47.5,−112,SUN OCT 27TH,2024-10-21 19:45:32.770926,DraftKings,NFL
PHI Eagles,CIN Bengals,MoneyLine,PHI Eagles,+124,SUN OCT 27TH,2024-10-21 19:45:32.770935,DraftKings,NFL
CIN Bengals,PHI Eagles,Spread,-3,−102,SUN OCT 27TH,2024-10-21 19:45:32.771608,DraftKings,NFL
CIN Bengals,PHI Eagles,Total,U47.5,−108,SUN OCT 27TH,2024-10-21 19:45:32.771618,DraftKings,NFL
CIN Bengals,PHI Eagles,MoneyLine,CIN Bengals,−148,SUN OCT 27TH,2024-10-21 19:45:32.771629,DraftKings,NFL
NY Jets,NE Patriots,Spread,-7,−110,SUN OCT 27TH,2024-10-21 19:45:32.772278,DraftKings,NFL
NY Jets,NE Patriots,Total,O41.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.772287,DraftKings,NFL
NY Jets,NE Patriots,MoneyLine,NY Jets,−310,SUN OCT 27TH,2024-10-21 19:45:32.772294,DraftKings,NFL
NE Patriots,NY Jets,Spread,+7,−110,SUN OCT 27TH,2024-10-21 19:45:32.772875,DraftKings,NFL
NE Patriots,NY Jets,Total,U41.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.772888,DraftKings,NFL
NE Patriots,NY Jets,MoneyLine,NE Patriots,+250,SUN OCT 27TH,2024-10-21 19:45:32.772899,DraftKings,NFL
ATL Falcons,TB Buccaneers,Spread,+2.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.773537,DraftKings,NFL
ATL Falcons,TB Buccaneers,Total,O48,−110,SUN OCT 27TH,2024-10-21 19:45:32.773548,DraftKings,NFL
ATL Falcons,TB Buccaneers,MoneyLine,ATL Falcons,+114,SUN OCT 27TH,2024-10-21 19:45:32.773555,DraftKings,NFL
TB Buccaneers,ATL Falcons,Spread,-2.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.774111,DraftKings,NFL
TB Buccaneers,ATL Falcons,Total,U48,−110,SUN OCT 27TH,2024-10-21 19:45:32.774119,DraftKings,NFL
TB Buccaneers,ATL Falcons,MoneyLine,TB Buccaneers,−135,SUN OCT 27TH,2024-10-21 19:45:32.774127,DraftKings,NFL
ARI Cardinals,MIA Dolphins,Spread,+3,−110,SUN OCT 27TH,2024-10-21 19:45:32.774649,DraftKings,NFL
ARI Cardinals,MIA Dolphins,Total,O47.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.774659,DraftKings,NFL
ARI Cardinals,MIA Dolphins,MoneyLine,ARI Cardinals,+130,SUN OCT 27TH,2024-10-21 19:45:32.774669,DraftKings,NFL
MIA Dolphins,ARI Cardinals,Spread,-3,−110,SUN OCT 27TH,2024-10-21 19:45:32.775332,DraftKings,NFL
MIA Dolphins,ARI Cardinals,Total,U47.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.775346,DraftKings,NFL
MIA Dolphins,ARI Cardinals,MoneyLine,MIA Dolphins,−155,SUN OCT 27TH,2024-10-21 19:45:32.775355,DraftKings,NFL
BUF Bills,SEA Seahawks,Spread,-3,−110,SUN OCT 27TH,2024-10-21 19:45:32.776292,DraftKings,NFL
BUF Bills,SEA Seahawks,Total,O47.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.776302,DraftKings,NFL
BUF Bills,SEA Seahawks,MoneyLine,BUF Bills,−162,SUN OCT 27TH,2024-10-21 19:45:32.776310,DraftKings,NFL
SEA Seahawks,BUF Bills,Spread,+3,−110,SUN OCT 27TH,2024-10-21 19:45:32.776892,DraftKings,NFL
SEA Seahawks,BUF Bills,Total,U47.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.776903,DraftKings,NFL
SEA Seahawks,BUF Bills,MoneyLine,SEA Seahawks,+136,SUN OCT 27TH,2024-10-21 19:45:32.776911,DraftKings,NFL
NO Saints,LA Chargers,Spread,+7.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.777441,DraftKings,NFL
NO Saints,LA Chargers,Total,O39.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.777452,DraftKings,NFL
NO Saints,LA Chargers,MoneyLine,NO Saints,+300,SUN OCT 27TH,2024-10-21 19:45:32.777459,DraftKings,NFL
LA Chargers,NO Saints,Spread,-7.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.777994,DraftKings,NFL
LA Chargers,NO Saints,Total,U39.5,−110,SUN OCT 27TH,2024-10-21 19:45:32.778004,DraftKings,NFL
LA Chargers,NO Saints,MoneyLine,LA Chargers,−380,SUN OCT 27TH,2024-10-21 19:45:32.778013,DraftKings,NFL
KC Chiefs,LV Raiders,Spread,-9.5,−112,SUN OCT 27TH,2024-10-21 19:45:32.778567,DraftKings,NFL
KC Chiefs,LV Raiders,Total,O42,−108,SUN OCT 27TH,2024-10-21 19:45:32.778578,DraftKings,NFL
KC Chiefs,LV Raiders,MoneyLine,KC Chiefs,−455,SUN OCT 27TH,2024-10-21 19:45:32.778587,DraftKings,NFL
LV Raiders,KC Chiefs,Spread,+9.5,−108,SUN OCT 27TH,2024-10-21 19:45:32.779149,DraftKings,NFL
LV Raiders,KC Chiefs,Total,U42,−112,SUN OCT 27TH,2024-10-21 19:45:32.779160,DraftKings,NFL
LV Raiders,KC Chiefs,MoneyLine,LV Raiders,+350,SUN OCT 27TH,2024-10-21 19:45:32.779169,DraftKings,NFL
CAR Panthers,DEN Broncos,Spread,+8,−108,SUN OCT 27TH,2024-10-21 19:45:32.779750,DraftKings,NFL
CAR Panthers,DEN Broncos,Total,O43.5,−108,SUN OCT 27TH,2024-10-21 19:45:32.779761,DraftKings,NFL
CAR Panthers,DEN Broncos,MoneyLine,CAR Panthers,+320,SUN OCT 27TH,2024-10-21 19:45:32.779770,DraftKings,NFL
DEN Broncos,CAR Panthers,Spread,-8,−112,SUN OCT 27TH,2024-10-21 19:45:32.780328,DraftKings,NFL
DEN Broncos,CAR Panthers,Total,U43.5,−112,SUN OCT 27TH,2024-10-21 19:45:32.780339,DraftKings,NFL
DEN Broncos,CAR Panthers,MoneyLine,DEN Broncos,−410,SUN OCT 27TH,2024-10-21 19:45:32.780348,DraftKings,NFL
CHI Bears,WAS Commanders,Spread,-2.5,−115,SUN OCT 27TH,2024-10-21 19:45:32.780899,DraftKings,NFL
CHI Bears,WAS Commanders,Total,O45,−112,SUN OCT 27TH,2024-10-21 19:45:32.780910,DraftKings,NFL
CHI Bears,WAS Commanders,MoneyLine,CHI Bears,−148,SUN OCT 27TH,2024-10-21 19:45:32.780919,DraftKings,NFL
