Team 1,Team 2,Bet Type,Bet Info,Odds,Time of Game,DateTime,Sportsbook Name,Sport
Texans,Titans,Total (Under),U 41.5,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.930437,BetMGM,NFL
Texans,Titans,MoneyLine,,-375,11/24/24 1:00 PM,2024-11-18 16:29:18.930440,BetMGM,NFL
Broncos,Raiders,Spread,-5,-110,11/24/24 4:05 PM,2024-11-18 16:29:18.933513,BetMGM,NFL
Broncos,Raiders,Total (Over),O 41,-110,11/24/24 4:05 PM,2024-11-18 16:29:18.933519,BetMGM,NFL
Broncos,Raiders,MoneyLine,,-225,11/24/24 4:05 PM,2024-11-18 16:29:18.933522,BetMGM,NFL
Raiders,Broncos,Spread,+5,-110,11/24/24 4:05 PM,2024-11-18 16:29:18.933525,BetMGM,NFL
Raiders,Broncos,Total (Under),U 41,-110,11/24/24 4:05 PM,2024-11-18 16:29:18.933528,BetMGM,NFL
Raiders,Broncos,MoneyLine,,+185,11/24/24 4:05 PM,2024-11-18 16:29:18.933530,BetMGM,NFL
49ers,Packers,Spread,+2,-110,11/24/24 4:25 PM,2024-11-18 16:29:18.936945,BetMGM,NFL
49ers,Packers,Total (Over),O 48,-115,11/24/24 4:25 PM,2024-11-18 16:29:18.936952,BetMGM,NFL
49ers,Packers,MoneyLine,,+105,11/24/24 4:25 PM,2024-11-18 16:29:18.936955,BetMGM,NFL
Packers,49ers,Spread,-2,-110,11/24/24 4:25 PM,2024-11-18 16:29:18.936958,BetMGM,NFL
Packers,49ers,Total (Under),U 48,-105,11/24/24 4:25 PM,2024-11-18 16:29:18.936961,BetMGM,NFL
Packers,49ers,MoneyLine,,-125,11/24/24 4:25 PM,2024-11-18 16:29:18.936966,BetMGM,NFL
Cardinals,Seahawks,Spread,-1,-105,11/24/24 4:25 PM,2024-11-18 16:29:18.940638,BetMGM,NFL
Cardinals,Seahawks,Total (Over),O 47.5,-110,11/24/24 4:25 PM,2024-11-18 16:29:18.940643,BetMGM,NFL
Cardinals,Seahawks,MoneyLine,,-110,11/24/24 4:25 PM,2024-11-18 16:29:18.940646,BetMGM,NFL
Seahawks,Cardinals,Spread,+1,-115,11/24/24 4:25 PM,2024-11-18 16:29:18.940649,BetMGM,NFL
Seahawks,Cardinals,Total (Under),U 47.5,-110,11/24/24 4:25 PM,2024-11-18 16:29:18.940654,BetMGM,NFL
Seahawks,Cardinals,MoneyLine,,-110,11/24/24 4:25 PM,2024-11-18 16:29:18.940657,BetMGM,NFL
Eagles,Rams,Spread,-3,-110,11/24/24 8:20 PM,2024-11-18 16:29:18.944276,BetMGM,NFL
Eagles,Rams,Total (Over),O 50,-115,11/24/24 8:20 PM,2024-11-18 16:29:18.944282,BetMGM,NFL
Eagles,Rams,MoneyLine,,-160,11/24/24 8:20 PM,2024-11-18 16:29:18.944286,BetMGM,NFL
Rams,Eagles,Spread,+3,-110,11/24/24 8:20 PM,2024-11-18 16:29:18.944289,BetMGM,NFL
Rams,Eagles,Total (Under),U 50,-105,11/24/24 8:20 PM,2024-11-18 16:29:18.944291,BetMGM,NFL
Rams,Eagles,MoneyLine,,+135,11/24/24 8:20 PM,2024-11-18 16:29:18.944297,BetMGM,NFL
Ravens,Chargers,Spread,-3,-110,11/25/24 8:15 PM,2024-11-18 16:29:18.947730,BetMGM,NFL
Ravens,Chargers,Total (Over),O 50,-110,11/25/24 8:15 PM,2024-11-18 16:29:18.947734,BetMGM,NFL
Ravens,Chargers,MoneyLine,,-160,11/25/24 8:15 PM,2024-11-18 16:29:18.947737,BetMGM,NFL
Chargers,Ravens,Spread,+3,-110,11/25/24 8:15 PM,2024-11-18 16:29:18.947740,BetMGM,NFL
Chargers,Ravens,Total (Under),U 50,-110,11/25/24 8:15 PM,2024-11-18 16:29:18.947743,BetMGM,NFL
Chargers,Ravens,MoneyLine,,+135,11/25/24 8:15 PM,2024-11-18 16:29:18.947746,BetMGM,NFL
76ers,Heat,Spread,+5.5,-115,Today • 7:10 PM,2024-11-18 16:29:21.881779,BetMGM,NBA
76ers,Heat,Total (Over),O 211.5,-110,Today • 7:10 PM,2024-11-18 16:29:21.881796,BetMGM,NBA
76ers,Heat,MoneyLine,,+170,Today • 7:10 PM,2024-11-18 16:29:21.881799,BetMGM,NBA
Heat,76ers,Spread,-5.5,-105,Today • 7:10 PM,2024-11-18 16:29:21.881802,BetMGM,NBA
Heat,76ers,Total (Under),U 211.5,-110,Today • 7:10 PM,2024-11-18 16:29:21.881805,BetMGM,NBA
Heat,76ers,MoneyLine,,-210,Today • 7:10 PM,2024-11-18 16:29:21.881808,BetMGM,NBA
Bulls,Pistons,Spread,+4.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.884757,BetMGM,NBA
Bulls,Pistons,Total (Over),O 233.5,-115,Today • 7:40 PM,2024-11-18 16:29:21.884761,BetMGM,NBA
Bulls,Pistons,MoneyLine,,+155,Today • 7:40 PM,2024-11-18 16:29:21.884764,BetMGM,NBA
Pistons,Bulls,Spread,-4.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.884767,BetMGM,NBA
Pistons,Bulls,Total (Under),U 233.5,-105,Today • 7:40 PM,2024-11-18 16:29:21.884770,BetMGM,NBA
Pistons,Bulls,MoneyLine,,-190,Today • 7:40 PM,2024-11-18 16:29:21.884773,BetMGM,NBA
Wizards,Knicks,Spread,+14.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.887822,BetMGM,NBA
Wizards,Knicks,Total (Over),O 233.5,-115,Today • 7:40 PM,2024-11-18 16:29:21.887826,BetMGM,NBA
Wizards,Knicks,MoneyLine,,+700,Today • 7:40 PM,2024-11-18 16:29:21.887829,BetMGM,NBA
Knicks,Wizards,Spread,-14.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.887832,BetMGM,NBA
Knicks,Wizards,Total (Under),U 233.5,-105,Today • 7:40 PM,2024-11-18 16:29:21.887835,BetMGM,NBA
Knicks,Wizards,MoneyLine,,-1100,Today • 7:40 PM,2024-11-18 16:29:21.887838,BetMGM,NBA
Pacers,Raptors,Spread,-3.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.890764,BetMGM,NBA
Pacers,Raptors,Total (Over),O 234.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.890768,BetMGM,NBA
Pacers,Raptors,MoneyLine,,-165,Today • 7:40 PM,2024-11-18 16:29:21.890771,BetMGM,NBA
Raptors,Pacers,Spread,+3.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.890774,BetMGM,NBA
Raptors,Pacers,Total (Under),U 234.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.890777,BetMGM,NBA
Raptors,Pacers,MoneyLine,,+140,Today • 7:40 PM,2024-11-18 16:29:21.890780,BetMGM,NBA
Rockets,Bucks,Spread,+3.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.893818,BetMGM,NBA
Rockets,Bucks,Total (Over),O 223.5,-115,Today • 7:40 PM,2024-11-18 16:29:21.893825,BetMGM,NBA
Rockets,Bucks,MoneyLine,,+135,Today • 7:40 PM,2024-11-18 16:29:21.893828,BetMGM,NBA
Bucks,Rockets,Spread,-3.5,-110,Today • 7:40 PM,2024-11-18 16:29:21.893831,BetMGM,NBA
Bucks,Rockets,Total (Under),U 223.5,-105,Today • 7:40 PM,2024-11-18 16:29:21.893834,BetMGM,NBA
Bucks,Rockets,MoneyLine,,-160,Today • 7:40 PM,2024-11-18 16:29:21.893837,BetMGM,NBA
Magic,Suns,Spread,-4.5,-115,Today • 8:10 PM,2024-11-18 16:29:21.896888,BetMGM,NBA
Magic,Suns,Total (Over),O 212.5,-105,Today • 8:10 PM,2024-11-18 16:29:21.896891,BetMGM,NBA
Magic,Suns,MoneyLine,,-190,Today • 8:10 PM,2024-11-18 16:29:21.896894,BetMGM,NBA
