team1,team2,betType,betInfo,odds,dateOfGame,sportsbookName,sport
"Brooklyn Nets","Indiana Pacers","MoneyLine","Brooklyn Nets",280,"2025-03-20T23:10:00Z","DraftKings","NBA"
"Indiana Pacers","Brooklyn Nets","MoneyLine","Indiana Pacers",-355,"2025-03-20T23:10:00Z","DraftKings","NBA"
"Brooklyn Nets","Indiana Pacers","Spread","8.5",-108,"2025-03-20T23:10:00Z","DraftKings","NBA"
"Indiana Pacers","Brooklyn Nets","Spread","-8.5",-112,"2025-03-20T23:10:00Z","DraftKings","NBA"
"Indiana Pacers","Brooklyn Nets","Total","O222",-108,"2025-03-20T23:10:00Z","DraftKings","NBA"
"Indiana Pacers","Brooklyn Nets","Total","U222",-112,"2025-03-20T23:10:00Z","DraftKings","NBA"
"Brooklyn Nets","Indiana Pacers","MoneyLine","Brooklyn Nets",268,"2025-03-20T23:10:00Z","MyBookie.ag","NBA"
"Indiana Pacers","Brooklyn Nets","MoneyLine","Indiana Pacers",-357,"2025-03-20T23:10:00Z","MyBookie.ag","NBA"
"Brooklyn Nets","Indiana Pacers","Spread","8",-110,"2025-03-20T23:10:00Z","MyBookie.ag","NBA"
"Indiana Pacers","Brooklyn Nets","Spread","-8",-110,"2025-03-20T23:10:00Z","MyBookie.ag","NBA"
"Indiana Pacers","Brooklyn Nets","Total","O222.5",-110,"2025-03-20T23:10:00Z","MyBookie.ag","NBA"
"Indiana Pacers","Brooklyn Nets","Total","U222.5",-110,"2025-03-20T23:10:00Z","MyBookie.ag","NBA"
"Brooklyn Nets","Indiana Pacers","MoneyLine","Brooklyn Nets",290,"2025-03-20T23:10:00Z","FanDuel","NBA"
"Indiana Pacers","Brooklyn Nets","MoneyLine","Indiana Pacers",-360,"2025-03-20T23:10:00Z","FanDuel","NBA"
